engine,index_config,scenario,w_ref,correctness,recall_at_k,leak_rate,p50_ms,p95_ms,throughput_ops_s,storage_bytes,source_class,notes
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.7466666666666667,0.0,2.6372920110588893,7.585000403923907,,,OBSERVED,ef=64 D=1 t=50 sel=1/1
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.7466666666666667,0.0,1.3880830083508044,1.6873838001629335,,,OBSERVED,ef=64 D=1 t=50 sel=1/1
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.98,0.0,2.1675830066669732,2.3175250069471076,,,OBSERVED,ef=256 D=1 t=50 sel=1/1
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.98,0.0,1.9719590054592118,2.1979754004860297,,,OBSERVED,ef=256 D=1 t=50 sel=1/1
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=20000,status=green,D=1,Nlog=20000",ingest.build,-,N/A,,,,,16902.744610229707,5120000,OBSERVED,D=1; 1.2s; physical=20000
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,10.458792006829754,12.075691192876546,,,OBSERVED,ef=16 D=1 t=50 sel=1/1
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,10.364375004428439,11.367958597838877,,,OBSERVED,ef=16 D=1 t=50 sel=1/1
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,10.070124990306795,11.081766607821919,,,OBSERVED,ef=64 D=1 t=50 sel=1/1
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,10.190250002779067,11.130650402628815,,,OBSERVED,ef=64 D=1 t=50 sel=1/1
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,10.087041999213398,10.666683205636218,,,OBSERVED,ef=256 D=1 t=50 sel=1/1
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,10.017791006248444,10.749241596204229,,,OBSERVED,ef=256 D=1 t=50 sel=1/1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=20000,status=green,D=1,Nlog=20000",ingest.build,-,N/A,,,,,17531.750176912614,5120000,OBSERVED,D=1; 1.1s; physical=20000
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.5833333333333334,0.0,3.0738329951418564,4.302942001959309,,,OBSERVED,ef=16 D=1 t=50 sel=1/1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.5833333333333334,0.0,2.9579169931821525,4.195583006367086,,,OBSERVED,ef=16 D=1 t=50 sel=1/1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.9266666666666666,0.0,4.523459007032216,5.4310081963194525,,,OBSERVED,ef=64 D=1 t=50 sel=1/1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.9266666666666666,0.0,3.80379099806305,5.298458391916937,,,OBSERVED,ef=64 D=1 t=50 sel=1/1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,6.085708009777591,7.128883601399139,,,OBSERVED,ef=256 D=1 t=50 sel=1/1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=20000,status=green,D=1,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,6.0888339939992875,6.716941591002978,,,OBSERVED,ef=256 D=1 t=50 sel=1/1
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=4,Nlog=20000",ingest.build,-,N/A,,,,,11676.673849830055,74973184,OBSERVED,D=4; 6.9s; physical=80000
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.19666666666666668,0.0,0.7912920118542388,0.966766392230056,,,OBSERVED,ef=16 D=4 t=150 sel=1/4
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.22999999999999998,0.0,0.6645000103162602,1.0476583993295199,,,OBSERVED,ef=16 D=4 t=350 sel=1/4
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.44,0.0,1.0081670043291524,1.2484163948101923,,,OBSERVED,ef=64 D=4 t=150 sel=1/4
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.4833333333333334,0.0,0.9675839974079281,1.1832830030471087,,,OBSERVED,ef=64 D=4 t=350 sel=1/4
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.8199999999999998,0.0,1.7407080013072118,1.9602750020567328,,,OBSERVED,ef=256 D=4 t=150 sel=1/4
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.8233333333333331,0.0,1.7285420035477728,1.8520668032579122,,,OBSERVED,ef=256 D=4 t=350 sel=1/4
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=4,Nlog=20000",ingest.build,-,N/A,,,,,11423.797505200206,74956800,OBSERVED,D=4; 7.0s; physical=80000
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.44,0.0,1.28975001280196,1.4488999935565516,,,OBSERVED,ef=16 D=4 t=150 sel=1/4
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.4166666666666667,0.0,1.0865829972317442,1.2147506029577924,,,OBSERVED,ef=16 D=4 t=350 sel=1/4
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.5266666666666666,0.0,1.1417089990573004,1.4157920057186855,,,OBSERVED,ef=64 D=4 t=150 sel=1/4
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.5166666666666666,0.0,1.111083009163849,1.2333585997112095,,,OBSERVED,ef=64 D=4 t=350 sel=1/4
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.8566666666666667,0.0,1.9588750001275912,2.1367665962316096,,,OBSERVED,ef=256 D=4 t=150 sel=1/4
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.8466666666666666,0.0,1.9437500013737008,2.04995860112831,,,OBSERVED,ef=256 D=4 t=350 sel=1/4
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=80000,status=green,D=4,Nlog=20000",ingest.build,-,N/A,,,,,20091.472496127466,20480000,OBSERVED,D=4; 4.0s; physical=80000
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,24.899208001443185,25.9316499956185,,,OBSERVED,ef=16 D=4 t=150 sel=1/4
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,31.776458999956958,33.0119750025915,,,OBSERVED,ef=16 D=4 t=350 sel=1/4
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,24.839125006110407,25.96039999916684,,,OBSERVED,ef=64 D=4 t=150 sel=1/4
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,32.05095800512936,33.28241659910418,,,OBSERVED,ef=64 D=4 t=350 sel=1/4
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,24.776125006610528,25.82250820414629,,,OBSERVED,ef=256 D=4 t=150 sel=1/4
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,32.507915995665826,39.30365000269376,,,OBSERVED,ef=256 D=4 t=350 sel=1/4
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=80000,status=green,D=4,Nlog=20000",ingest.build,-,N/A,,,,,20434.941551581232,20480000,OBSERVED,D=4; 3.9s; physical=80000
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.06333333333333334,0.0,8.180042001185939,9.14295059046708,,,OBSERVED,ef=16 D=4 t=150 sel=1/4
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.08333333333333334,0.0,10.50020799448248,11.143258595257066,,,OBSERVED,ef=16 D=4 t=350 sel=1/4
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.20666666666666664,0.0,11.127874997328036,19.713549400330514,,,OBSERVED,ef=64 D=4 t=150 sel=1/4
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.20666666666666664,0.0,11.288624998996966,11.941824603127316,,,OBSERVED,ef=64 D=4 t=350 sel=1/4
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.5199999999999999,0.0,11.904832994332537,13.205366206238978,,,OBSERVED,ef=256 D=4 t=150 sel=1/4
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.46333333333333326,0.0,15.300790997571312,17.318466401775364,,,OBSERVED,ef=256 D=4 t=350 sel=1/4
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=16,Nlog=20000",ingest.build,-,N/A,,,,,12697.425771847953,299507712,OBSERVED,D=16; 25.2s; physical=320000
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.04333333333333334,0.0,0.828874995931983,1.0806161968503147,,,OBSERVED,ef=16 D=16 t=750 sel=1/16
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.053333333333333344,0.0,0.6886669871164486,1.5648499946109933,,,OBSERVED,ef=16 D=16 t=1550 sel=1/16
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.12333333333333334,0.0,1.1888750013895333,1.4843915996607393,,,OBSERVED,ef=64 D=16 t=750 sel=1/16
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.13333333333333333,0.0,0.7948749989736825,1.8092582031385944,,,OBSERVED,ef=64 D=16 t=1550 sel=1/16
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.3066666666666666,0.0,2.4078340065898374,3.83084159984719,,,OBSERVED,ef=256 D=16 t=750 sel=1/16
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.3333333333333333,0.0,2.165291996789165,2.8366829996230063,,,OBSERVED,ef=256 D=16 t=1550 sel=1/16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=16,Nlog=20000",ingest.build,-,N/A,,,,,12695.952962316134,299556864,OBSERVED,D=16; 25.2s; physical=320000
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.29,0.0,2.2665839933324605,2.6933670043945312,,,OBSERVED,ef=16 D=16 t=750 sel=1/16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.2766666666666666,0.0,1.8562919867690653,2.917066801455802,,,OBSERVED,ef=16 D=16 t=1550 sel=1/16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.3133333333333333,0.0,1.6718330007279292,2.6290743990102774,,,OBSERVED,ef=64 D=16 t=750 sel=1/16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.29999999999999993,0.0,1.7067080043489113,2.1418414078652854,,,OBSERVED,ef=64 D=16 t=1550 sel=1/16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PARTIAL,0.38999999999999996,0.0,2.2040000039851293,2.7884830022230744,,,OBSERVED,ef=256 D=16 t=750 sel=1/16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PARTIAL,0.4,0.0,2.1772089967271313,2.862491807900369,,,OBSERVED,ef=256 D=16 t=1550 sel=1/16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=320000,status=green,D=16,Nlog=20000",ingest.build,-,N/A,,,,,20327.223030950336,81920000,OBSERVED,D=16; 15.7s; physical=320000
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,65.11433300329372,90.10115839773785,,,OBSERVED,ef=16 D=16 t=750 sel=1/16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,84.37604100618046,98.6820828024065,,,OBSERVED,ef=16 D=16 t=1550 sel=1/16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,64.41233299847227,70.28479959699325,,,OBSERVED,ef=64 D=16 t=750 sel=1/16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,83.59787499648519,86.2210502004018,,,OBSERVED,ef=64 D=16 t=1550 sel=1/16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,PASS,1.0,0.0,63.94370800990146,65.42914119781926,,,OBSERVED,ef=256 D=16 t=750 sel=1/16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,PASS,1.0,0.0,83.36870800121687,83.92667499720119,,,OBSERVED,ef=256 D=16 t=1550 sel=1/16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=320000,status=green,D=16,Nlog=20000",ingest.build,-,N/A,,,,,21928.77191725485,81920000,OBSERVED,D=16; 14.6s; physical=320000
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,OVER_RESTRICTS,0.0,0.0,24.417916996753775,25.27554160624277,,,OBSERVED,ef=16 D=16 t=750 sel=1/16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,OVER_RESTRICTS,0.0,0.0,30.498249994707294,32.76960039511323,,,OBSERVED,ef=16 D=16 t=1550 sel=1/16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,OVER_RESTRICTS,0.0,0.0,23.947541994857602,25.232075407984667,,,OBSERVED,ef=64 D=16 t=750 sel=1/16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,OVER_RESTRICTS,0.0,0.0,30.435666994890198,42.7559922041837,,,OBSERVED,ef=64 D=16 t=1550 sel=1/16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,H4/RQ4,OVER_RESTRICTS,0.0,0.0,23.513874999480322,25.59548339631874,,,OBSERVED,ef=256 D=16 t=750 sel=1/16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,H4/RQ4,OVER_RESTRICTS,0.0,0.0,29.74916600214783,31.133658398175612,,,OBSERVED,ef=256 D=16 t=1550 sel=1/16
