engine,index_config,scenario,w_ref,correctness,recall_at_k,leak_rate,p50_ms,p95_ms,throughput_ops_s,storage_bytes,source_class,notes
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=64,epochs=1,indexed=40000,D=1,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.2183750077383593,2.2466916008852422,,,OBSERVED,ef=64 D=1 t=50
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=64,epochs=1,indexed=40000,D=1,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.3239160034572706,2.70339179842267,,,OBSERVED,ef=64 D=1 t=50
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=256,epochs=1,indexed=40000,D=1,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.1733749997802079,2.3668335983529682,,,OBSERVED,ef=256 D=1 t=50
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=256,epochs=1,indexed=40000,D=1,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.2005000025965273,2.393725205911323,,,OBSERVED,ef=256 D=1 t=50
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=80000,status=green,D=4,Nlog=20000",ingest.build,-,N/A,,,,,19916.73848804211,20480000,OBSERVED,D=4; 4.0s
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,3.419667002162896,7.389075399260033,,,OBSERVED,ef=16 D=4 t=150
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,2.295041995239444,3.263200196670368,,,OBSERVED,ef=16 D=4 t=350
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,validx=True,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,2.2181659878697246,3.312399791320785,,,OBSERVED,ef=64 D=4 t=150
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,validx=True,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.5612909919582307,2.4409918056335287,,,OBSERVED,ef=64 D=4 t=350
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,validx=True,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.6765420004958287,2.6662670046789554,,,OBSERVED,ef=256 D=4 t=150
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,validx=True,indexed=80000,status=green,D=4,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.8410000047879294,2.3093586089089513,,,OBSERVED,ef=256 D=4 t=350
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=4,indexed=100000,D=4,Nlog=20000",ingest.build,-,N/A,,,,,11424.666776149663,25600000,OBSERVED,D=4; 7.0s
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=4,indexed=100000,D=4,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,3.188417002093047,7.081075006863101,,,OBSERVED,ef=16 D=4 t=150
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=4,indexed=100000,D=4,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.8335409986320883,2.8358081966871374,,,OBSERVED,ef=16 D=4 t=350
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=64,epochs=4,indexed=100000,D=4,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.5397090028272942,2.91074939596001,,,OBSERVED,ef=64 D=4 t=150
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=64,epochs=4,indexed=100000,D=4,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.4680000022053719,3.1306919991038726,,,OBSERVED,ef=64 D=4 t=350
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=256,epochs=4,indexed=100000,D=4,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.1925419967155904,2.151508195674977,,,OBSERVED,ef=256 D=4 t=150
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=256,epochs=4,indexed=100000,D=4,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.2036249972879887,2.1546917996602133,,,OBSERVED,ef=256 D=4 t=350
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=320000,status=green,D=16,Nlog=20000",ingest.build,-,N/A,,,,,17617.57266554979,81920000,OBSERVED,D=16; 18.2s
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,3.3789580047596246,6.708974999492052,,,OBSERVED,ef=16 D=16 t=750
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,validx=True,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.6821660101413727,2.4475085927406326,,,OBSERVED,ef=16 D=16 t=1550
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,validx=True,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,2.001374989049509,2.685950198792852,,,OBSERVED,ef=64 D=16 t=750
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,validx=True,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.5330000023823231,2.4061664007604104,,,OBSERVED,ef=64 D=16 t=1550
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,validx=True,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,2.240500005427748,3.369742198265157,,,OBSERVED,ef=256 D=16 t=750
qdrant-rangeidx,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,validx=True,indexed=320000,status=green,D=16,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.758083002641797,2.859174794866703,,,OBSERVED,ef=256 D=16 t=1550
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=16,indexed=340000,D=16,Nlog=20000",ingest.build,-,N/A,,,,,5019.63237374577,87040000,OBSERVED,D=16; 63.7s
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=16,indexed=340000,D=16,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,2.5544580130372196,3.9889250008855015,,,OBSERVED,ef=16 D=16 t=750
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=16,epochs=16,indexed=340000,D=16,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.9736249960260466,2.9311578022316094,,,OBSERVED,ef=16 D=16 t=1550
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=64,epochs=16,indexed=340000,D=16,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.593291002791375,6.981667003128675,,,OBSERVED,ef=64 D=16 t=750
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=64,epochs=16,indexed=340000,D=16,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,1.8891249928856269,5.435383200529026,,,OBSERVED,ef=64 D=16 t=1550
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=256,epochs=16,indexed=340000,D=16,Nlog=20000",retrieve.as_of_mid,G3q-probe,PASS,1.0,0.0,1.5257920022122562,2.5628247967688362,,,OBSERVED,ef=256 D=16 t=750
qdrant-partitioned,"index=hnsw-partitioned,M=16,ef_construct=64,hnsw_ef=256,epochs=16,indexed=340000,D=16,Nlog=20000",retrieve.as_of_now,G3q-probe,PASS,1.0,0.0,2.3493329936172813,3.3264747908106074,,,OBSERVED,ef=256 D=16 t=1550
