engine,index_config,scenario,w_ref,correctness,recall_at_k,leak_rate,p50_ms,p95_ms,throughput_ops_s,delete_ack_ms,ops_until_gone,storage_bytes,source_class,notes
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=20000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.08000000000000002,0.0,0.9143329953076318,0.975182797992602,,,,,OBSERVED,ef=64 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,N=20000",retrieve.unfiltered,-,PARTIAL,0.9833333333333333,,1.8465000030118972,2.045258801081218,,,,,OBSERVED,ef=256
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,N=20000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,0.5984590097796172,0.7018588075879961,,,,,OBSERVED,ef=256 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=20000",delete.honest,W6,PASS,0.0,0.0,,,,0.5370419967221096,1,18817024,OBSERVED,ef=64; ack=0.5ms; gone@1
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=20000",ingest.build,-,N/A,,,,,5699.840757688088,,,18833408,OBSERVED,"bulk load + index build = 3.5s (5,700 vec/s)"
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=20000",retrieve.unfiltered,-,PARTIAL,0.4633333333333333,,0.8954579971032217,1.0444004030432552,,,,,OBSERVED,ef=16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=20000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.9933333333333334,0.0,4.963792001944967,7.305908395210277,,,,,OBSERVED,ef=16 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=20000",retrieve.unfiltered,-,PARTIAL,0.76,,1.1727919918484986,1.291316605056636,,,,,OBSERVED,ef=64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=20000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.9933333333333334,0.0,5.156416998943314,6.283166402135976,,,,,OBSERVED,ef=64 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=20000",retrieve.unfiltered,-,PARTIAL,0.9833333333333333,,2.187542006140575,2.823659000569023,,,,,OBSERVED,ef=256
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=20000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,0.7724579918431118,0.835074600763619,,,,,OBSERVED,ef=256 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=20000",delete.honest,W6,PASS,1.0,0.0,,,,0.3126250085188076,1,18833408,OBSERVED,ef=64; ack=0.3ms; gone@1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=20000,status=green,N=20000",ingest.build,-,N/A,,,,,15652.74489396417,,,5120000,OBSERVED,"bulk load + index build = 1.3s (15,653 vec/s)"
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=20000,status=green,N=20000",retrieve.unfiltered,-,PARTIAL,0.7333333333333333,,3.0477499967673793,4.8114411998540145,,,,,OBSERVED,ef=16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=20000,status=green,N=20000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.9733333333333333,0.0,1.7987920000450686,2.9301670030690725,,,,,OBSERVED,ef=16 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=20000,status=green,N=20000",retrieve.unfiltered,-,PARTIAL,0.9766666666666666,,1.8472910014679655,3.2870912051293986,,,,,OBSERVED,ef=64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=20000,status=green,N=20000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.1614590039243922,2.107683001668192,,,,,OBSERVED,ef=64 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=20000,status=green,N=20000",retrieve.unfiltered,-,PASS,1.0,,1.3571669987868518,2.0940586022334164,,,,,OBSERVED,ef=256
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=20000,status=green,N=20000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.0449170076753944,1.9140080024953916,,,,,OBSERVED,ef=256 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=20000,status=green,N=20000",delete.honest,W6,PASS,1.0,0.0,,,,1.1914169881492853,1,5118720,OBSERVED,ef=64; ack=1.2ms; gone@1
oracle-exact,N=100000,retrieve.unfiltered,-,PASS,1.0,,1.1372500011930242,1.323041401337832,,,,25600000,OBSERVED,vectorized exact baseline (in-process)
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=100000",ingest.build,-,N/A,,,,,8191.203634797265,,,94068736,OBSERVED,"bulk load + index build = 12.2s (8,191 vec/s)"
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=100000",retrieve.unfiltered,-,PARTIAL,0.17666666666666664,,0.898584010428749,1.0646666079992426,,,,,OBSERVED,ef=16
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=100000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.03666666666666667,0.0,0.7719580025877804,0.9206001996062696,,,,,OBSERVED,ef=16 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=100000",retrieve.unfiltered,-,PARTIAL,0.4566666666666668,,1.2281670060474426,1.5067834057845173,,,,,OBSERVED,ef=64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=100000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.10333333333333335,0.0,1.193375006550923,1.4135082019492982,,,,,OBSERVED,ef=64 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,N=100000",retrieve.unfiltered,-,PARTIAL,0.8533333333333334,,2.5370830117026344,2.740592203917913,,,,,OBSERVED,ef=256
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,N=100000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.3099999999999999,0.0,2.7251669962424785,3.0256836093030866,,,,,OBSERVED,ef=256 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=100000",delete.honest,W6,PASS,0.0,0.0,,,,0.4859580076299608,1,94068736,OBSERVED,ef=64; ack=0.5ms; gone@1
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=100000",ingest.build,-,N/A,,,,,9148.872255977974,,,94093312,OBSERVED,"bulk load + index build = 10.9s (9,149 vec/s)"
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=100000",retrieve.unfiltered,-,PARTIAL,0.15666666666666668,,1.1104580044047907,1.2428077956428751,,,,,OBSERVED,ef=16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=100000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.7799999999999999,0.0,7.812374999048188,8.743141798186116,,,,,OBSERVED,ef=16 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=100000",retrieve.unfiltered,-,PARTIAL,0.44666666666666666,,1.5409170009661466,2.170033199945464,,,,,OBSERVED,ef=64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=100000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.8066666666666666,0.0,8.341207998455502,9.513191395672036,,,,,OBSERVED,ef=64 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=100000",retrieve.unfiltered,-,PARTIAL,0.8300000000000001,,2.9929169977549464,3.3452005882281806,,,,,OBSERVED,ef=256
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=100000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.8333333333333333,0.0,9.041708006407134,10.961458599194883,,,,,OBSERVED,ef=256 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=100000",delete.honest,W6,PASS,0.7,0.0,,,,0.6292080070124939,1,94093312,OBSERVED,ef=64; ack=0.6ms; gone@1
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=100000,status=green,N=100000",ingest.build,-,N/A,,,,,19685.067301168125,,,25600000,OBSERVED,"bulk load + index build = 5.1s (19,685 vec/s)"
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=100000,status=green,N=100000",retrieve.unfiltered,-,PASS,1.0,,2.2993329912424088,3.405149999889544,,,,,OBSERVED,ef=16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=100000,status=green,N=100000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.1336659954395145,2.2560496057849377,,,,,OBSERVED,ef=16 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=100000,status=green,N=100000",retrieve.unfiltered,-,PASS,1.0,,1.4905830030329525,2.081508390256203,,,,,OBSERVED,ef=64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=100000,status=green,N=100000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.0307089978596196,2.1971587935695425,,,,,OBSERVED,ef=64 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=100000,status=green,N=100000",retrieve.unfiltered,-,PASS,1.0,,1.6827910003485158,2.786250202916562,,,,,OBSERVED,ef=256
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=100000,status=green,N=100000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,0.9998749883379787,2.1209247992374,,,,,OBSERVED,ef=256 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=100000,status=green,N=100000",delete.honest,W6,PASS,1.0,0.0,,,,1.3246669986983761,1,25598720,OBSERVED,ef=64; ack=1.3ms; gone@1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=100000,status=green,N=100000",ingest.build,-,N/A,,,,,16448.398813148127,,,25600000,OBSERVED,"bulk load + index build = 6.1s (16,448 vec/s)"
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=100000,status=green,N=100000",retrieve.unfiltered,-,PARTIAL,0.4266666666666667,,1.4196660049492493,2.0242499915184453,,,,,OBSERVED,ef=16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=100000,status=green,N=100000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.9133333333333332,0.0,1.1845419940073043,2.233024596353061,,,,,OBSERVED,ef=16 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=100000,status=green,N=100000",retrieve.unfiltered,-,PARTIAL,0.7833333333333334,,1.3024579966440797,2.2599585965508595,,,,,OBSERVED,ef=64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=100000,status=green,N=100000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.9966666666666666,0.0,1.1072089982917532,1.9126247905660418,,,,,OBSERVED,ef=64 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=100000,status=green,N=100000",retrieve.unfiltered,-,PARTIAL,0.9966666666666666,,1.6066660027718171,2.557808408164419,,,,,OBSERVED,ef=256
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=100000,status=green,N=100000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.897499998449348,2.9065671988064414,,,,,OBSERVED,ef=256 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=100000,status=green,N=100000",delete.honest,W6,PASS,1.0,0.0,,,,1.1752080026781186,1,25598720,OBSERVED,ef=64; ack=1.2ms; gone@1
oracle-exact,N=1000000,retrieve.unfiltered,-,PASS,1.0,,10.73404100316111,13.590116795967333,,,,256000000,OBSERVED,vectorized exact baseline (in-process)
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=1000000",ingest.build,-,N/A,,,,,1329.1723509450633,,,935829504,OBSERVED,"bulk load + index build = 752.3s (1,329 vec/s)"
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=1000000",retrieve.unfiltered,-,PARTIAL,0.04333333333333334,,2.172334003262222,2.9648504016222423,,,,,OBSERVED,ef=16
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,N=1000000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.016666666666666666,0.0,1.5660829958505929,2.34845820814371,,,,,OBSERVED,ef=16 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=1000000",retrieve.unfiltered,-,PARTIAL,0.16666666666666663,,3.562084006262012,4.3757000035839155,,,,,OBSERVED,ef=64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=1000000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.08,0.0,4.374291995191015,5.662483401829377,,,,,OBSERVED,ef=64 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,N=1000000",retrieve.unfiltered,-,PARTIAL,0.4666666666666667,,14.293667001766153,21.63220820657443,,,,,OBSERVED,ef=256
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,N=1000000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.20333333333333334,0.0,11.429833000875078,14.656124598695895,,,,,OBSERVED,ef=256 selectivity=1/64
pgvector,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,N=1000000",delete.honest,W6,PASS,0.1,0.0,,,,1.2364169961074367,1,935829504,OBSERVED,ef=64; ack=1.2ms; gone@1
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=1000000",ingest.build,-,N/A,,,,,1367.4093487248222,,,935903232,OBSERVED,"bulk load + index build = 731.3s (1,367 vec/s)"
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=1000000",retrieve.unfiltered,-,PARTIAL,0.046666666666666676,,3.171041011228226,5.402925392263567,,,,,OBSERVED,ef=16
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=16,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=1000000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.3899999999999999,0.0,27.23754200269468,29.483875204459764,,,,,OBSERVED,ef=16 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=1000000",retrieve.unfiltered,-,PARTIAL,0.19,,4.25279101182241,4.858941401471384,,,,,OBSERVED,ef=64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=1000000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.42666666666666664,0.0,29.244833000120707,31.838941405294463,,,,,OBSERVED,ef=64 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=1000000",retrieve.unfiltered,-,PARTIAL,0.4966666666666667,,11.400082992622629,12.28149959933944,,,,,OBSERVED,ef=256
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=256,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=1000000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.4566666666666667,0.0,30.841499989037402,34.440674603683874,,,,,OBSERVED,ef=256 selectivity=1/64
pgvector-iter,"index=hnsw,M=16,ef_construction=64,ef_search=64,lists=100,probes=10,deployed=7a-correct,iterative=relaxed_order,N=1000000",delete.honest,W6,PASS,0.3,0.0,,,,0.8548750047339126,1,935903232,OBSERVED,ef=64; ack=0.9ms; gone@1
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=1000000,status=green,N=1000000",ingest.build,-,N/A,,,,,15576.544453143148,,,256000000,OBSERVED,"bulk load + index build = 64.2s (15,577 vec/s)"
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=1000000,status=green,N=1000000",retrieve.unfiltered,-,PARTIAL,0.14,,2.7990419912384823,6.868382802349512,,,,,OBSERVED,ef=16
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,indexed=1000000,status=green,N=1000000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.725916998111643,3.018266803701408,,,,,OBSERVED,ef=16 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=1000000,status=green,N=1000000",retrieve.unfiltered,-,PARTIAL,0.3666666666666666,,1.6531250003026798,2.522108194534667,,,,,OBSERVED,ef=64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=1000000,status=green,N=1000000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.849291002145037,3.5018830007174975,,,,,OBSERVED,ef=64 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=1000000,status=green,N=1000000",retrieve.unfiltered,-,PARTIAL,0.6933333333333334,,2.3131670022848994,3.4189249912742525,,,,,OBSERVED,ef=256
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,indexed=1000000,status=green,N=1000000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,1.8052080122288316,3.465491198585368,,,,,OBSERVED,ef=256 selectivity=1/64
qdrant,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,indexed=1000000,status=green,N=1000000",delete.honest,W6,PASS,1.0,0.0,,,,3.2691669912310317,1,255998720,OBSERVED,ef=64; ack=3.3ms; gone@1
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=1000000,status=green,N=1000000",ingest.build,-,N/A,,,,,11224.491083012235,,,256000000,OBSERVED,"bulk load + index build = 89.1s (11,224 vec/s)"
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=1000000,status=green,N=1000000",retrieve.unfiltered,-,PARTIAL,0.20333333333333334,,3.627457990660332,7.789208600297567,,,,,OBSERVED,ef=16
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=16,deployed=7a-correct,fst=10,indexed=1000000,status=green,N=1000000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.6666666666666667,0.0,1.8955420091515407,4.144558595726265,,,,,OBSERVED,ef=16 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=1000000,status=green,N=1000000",retrieve.unfiltered,-,PARTIAL,0.4066666666666667,,1.79237499833107,2.7157828008057545,,,,,OBSERVED,ef=64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=1000000,status=green,N=1000000",retrieve.tenant_scoped,W5/H1,PARTIAL,0.9433333333333332,0.0,1.7307079979218543,3.996291192015631,,,,,OBSERVED,ef=64 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=1000000,status=green,N=1000000",retrieve.unfiltered,-,PARTIAL,0.8200000000000001,,2.2842920006951317,3.953632805496452,,,,,OBSERVED,ef=256
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=256,deployed=7a-correct,fst=10,indexed=1000000,status=green,N=1000000",retrieve.tenant_scoped,W5/H1,PASS,1.0,0.0,2.3548750032205135,3.3415244048228483,,,,,OBSERVED,ef=256 selectivity=1/64
qdrant-forced,"index=hnsw,M=16,ef_construct=64,hnsw_ef=64,deployed=7a-correct,fst=10,indexed=1000000,status=green,N=1000000",delete.honest,W6,PASS,1.0,0.0,,,,2.122792007867247,1,255998720,OBSERVED,ef=64; ack=2.1ms; gone@1
